                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.7758,                 1.8619,                 1.9161,                0.31284,                0.31915,                0.21161,                0.06473,                 2.1329,                 3.4731,                 2.0775,              0.0082922,              0.0082922,              0.0082922
                     71,                 1.7678,                 1.8669,                 1.9068,                0.29308,                0.33404,                0.20561,                0.06183,                 2.1408,                 3.4207,                 2.0934,              0.0082675,              0.0082675,              0.0082675
                     72,                  1.765,                 1.8249,                 1.9122,                 0.2748,                0.32553,                 0.1941,                0.05763,                 2.1542,                 3.4567,                 2.1074,              0.0082428,              0.0082428,              0.0082428
                     73,                 1.7394,                 1.8118,                 1.8794,                0.29592,                0.32872,                 0.1945,                 0.0574,                 2.1495,                 3.3374,                 2.0929,               0.008218,               0.008218,               0.008218
                     74,                 1.7414,                   1.81,                 1.8972,                0.28679,                 0.3234,                0.19372,                0.05767,                 2.1517,                 3.3137,                 2.0908,              0.0081932,              0.0081932,              0.0081932
                     75,                 1.7211,                 1.7782,                 1.8778,                0.29812,                0.29468,                0.19797,                0.05863,                 2.1574,                 3.3118,                 2.0993,              0.0081685,              0.0081685,              0.0081685
                     76,                 1.7409,                 1.8034,                 1.8922,                0.30832,                0.29681,                0.19619,                0.05861,                 2.1524,                 3.2829,                 2.0969,              0.0081437,              0.0081437,              0.0081437
                     77,                 1.7129,                  1.763,                 1.8654,                0.32105,                0.29574,                0.20289,                0.05972,                 2.1612,                 3.2668,                 2.1054,               0.008119,               0.008119,               0.008119
                     78,                  1.699,                 1.7277,                  1.857,                0.31681,                0.29797,                0.20614,                0.06009,                 2.1791,                 3.2644,                 2.1272,              0.0080942,              0.0080942,              0.0080942
                     79,                 1.7142,                 1.7293,                 1.8475,                0.31038,                0.30106,                0.20228,                0.05949,                 2.1975,                 3.2185,                 2.1438,              0.0080695,              0.0080695,              0.0080695
                     80,                  1.702,                 1.7148,                 1.8585,                0.29126,                0.30319,                0.20591,                0.06055,                 2.2078,                 3.2088,                 2.1578,              0.0080447,              0.0080447,              0.0080447
                     81,                 1.7022,                 1.7229,                 1.8558,                0.30162,                0.30638,                0.20389,                0.06016,                 2.2219,                 3.2428,                 2.1755,                0.00802,                0.00802,                0.00802
                     82,                 1.6931,                 1.6589,                  1.858,                0.30809,                0.30851,                 0.2009,                0.05957,                 2.2349,                 3.2502,                  2.191,              0.0079953,              0.0079953,              0.0079953
